Timestamp	Quat_w	Quat_x	Quat_y	Quat_z	Acc_x	Acc_y	Acc_z	Gyro_x	Gyro_y	Gyro_z
2.01	10717	-322	-12389	107	2023	-55	-282	-1	-3	-2
2.02	10713	-310	-12392	93	2023	-64	-303	-1	1	-1
2.03	10713	-310	-12392	93	2022	-68	-299	-1	-1	-2
2.04	10713	-309	-12392	93	2022	-60	-301	-1	-2	2
2.05	10713	-309	-12392	93	2030	-64	-303	0	2	-4
2.06	10713	-309	-12392	93	2027	-60	-295	-2	-2	3
2.07	10713	-309	-12392	93	2020	-66	-310	-2	3	-2
2.08	10713	-309	-12392	93	2024	-67	-296	0	-1	3
2.09	10713	-309	-12393	93	2029	-59	-311	-2	-1	-2
2.1	10713	-309	-12393	93	2023	-67	-300	-1	-2	-1
2.11	10712	-309	-12393	93	2027	-62	-300	-3	-1	2
2.12	10712	-309	-12393	93	2027	-68	-302	-2	-2	-2
2.13	10712	-309	-12393	92	2025	-66	-294	-2	-2	2
2.14	10712	-309	-12393	92	2028	-60	-297	-2	-1	-2
2.15	10712	-309	-12393	92	2028	-66	-303	-1	0	3
2.16	10712	-309	-12393	92	2019	-61	-310	-1	1	-4
2.17	10712	-308	-12393	92	2024	-57	-312	-2	0	1
2.18	10712	-308	-12393	92	2027	-67	-296	-2	-3	1
2.19	10712	-308	-12393	92	2025	-59	-304	-1	0	-1
2.2	10712	-308	-12393	92	2028	-68	-307	-2	1	4
2.21	10712	-308	-12393	92	2021	-66	-295	-3	-1	-4
2.22	10712	-308	-12393	92	2023	-62	-297	1	1	3
2.23	10712	-308	-12393	92	2034	-68	-302	0	-4	-3
2.24	10711	-308	-12394	91	2019	-55	-307	-1	-1	1
2.25	10711	-308	-12394	91	2018	-65	-301	-1	-1	0
2.26	10711	-308	-12394	91	2024	-68	-299	-1	2	-2
2.27	10712	-308	-12393	91	2022	-69	-287	-1	2	6
2.28	10711	-308	-12394	91	2029	-70	-305	0	-2	-6
2.29	10711	-308	-12394	91	2018	-65	-316	-1	-2	4
2.3	10711	-308	-12394	91	2019	-62	-306	-3	-1	-3
2.31	10711	-308	-12394	91	2022	-58	-308	-3	2	0
2.32	10711	-308	-12394	91	2022	-65	-300	-1	0	1
